"ID","PREFERRED","CREATED","LANG","MODIFIED","RELATION","SOURCE","TITLE","CONCEPT_FK"
"97478","TRUE",,"en","2008-12-17 20:55:56.0",,,"Avestan","95253"
"97479","TRUE",,"en","2008-12-17 20:55:56.0",,,"Afrikaans","95254"
"97480","TRUE",,"en","2008-12-17 20:55:56.0",,,"Akan","95255"
"97481","TRUE",,"en","2008-12-17 20:55:56.0",,,"Amharic","95256"
"97482","TRUE",,"en","2008-12-17 20:55:56.0",,,"Aragonese","95257"
"97483","TRUE",,"en","2008-12-17 20:55:56.0",,,"Arabic","95258"
"97484","TRUE",,"en","2008-12-17 20:55:56.0",,,"Assamese","95259"
"97485","TRUE",,"en","2008-12-17 20:55:56.0",,,"Avaric","95260"
"97486","TRUE",,"en","2008-12-17 20:55:56.0",,,"Aymara","95261"
"97487","TRUE",,"en","2008-12-17 20:55:56.0",,,"Azerbaijani","95262"
